id,en,ca
txt_catalan,CATALAN,CATALÀ
txt_options,OPTIONS,OPCIONS
txt_play,PLAY,JUGAR
txt_exit,EXIT,SORTIR
txt_english,ENGLISH,ANGLÈS
txt_audio,AUDIO,AUDIO
txt_master,master,mestre
txt_screen,screen,pantalla
txt_borderless,borderless,sense marges
txt_VSync,VSync,VSyncs
txt_fullScreen,fullScreen,pantalla completa
txt_music,music,música
txt_soundFX,soundFX,efectes de so
